"gene","excitatory_mean","inhibitory_mean"
"5_8S_rRNA",0.324783300791294,0.600736415282353
"5S_rRNA",21.3284826035315,32.525411367504
"7SK",2166.49323295085,2483.88147728351
"A1BG",8.67230252827522,6.71099856882565
"A1BG-AS1",6.13038932478144,4.01639783704125
"A1CF",0.411065922431694,0.417770576045762
"A2M",17.4514495466129,17.4497260841096
"A2M-AS1",6.01675444854388,5.96175848491878
"A2ML1",4.21603466099776,4.86187685811259
"A2ML1-AS1",9.53556128264626,14.8767450986685
"A2ML1-AS2",1.27962591379657,1.2072847504232
"A2MP1",18.3678454795132,17.3295308326685
"A3GALT2",0.644224786055318,0.397707542226929
"A4GALT",0.0590979768314259,0.0461055760591
"A4GNT",0.679624669702753,0.364930201875224
"AA06",30.9997330173329,19.1885872157542
"AAAS",3.08473185693113,2.86950934045211
"AACS",18.4624368299895,10.7461444107511
"AACSP1",1.94040925821505,0.720370297775059
"AADAC",0.158260521291506,0.0155647373658471
"AADACL2",0.158120186703371,0.0706080345108294
"AADACL2-AS1",0.185141605519353,0.0241917406304
"AADACL3",0.00313189225000118,0.00193419003211882
"AADACL4",0.0230900479463306,0.00579547540834118
"AADACP1",0.0688852056197129,0.01281646824916
"AADAT",8.06544651543993,9.33521317890082
"AAGAB",17.3895162974919,10.7064316543692
"AAK1",61.3424140636565,82.9346790781094
"AAMDC",6.01170058220718,7.02810169603635
"AAMP",7.54721963689718,6.49854582398612
"AANAT",1.12349368324339,0.88000063654533
"AAR2",1.90755282529961,2.02568020428691
"AARD",3.08472858529609,6.62013922430054
"AARS1",3.83414773511627,3.59267327547593
"AARS2",15.5725111844067,23.0548656511322
"AARSD1",16.2553193207141,14.735566591848
"AASDH",6.59807848336941,10.6406102762245
"AASDHPPT",38.3128837582114,35.728559724838
"AASS",0.522209186224063,0.429878019953546
"AATBC",1.81039299161799,1.95252258600389
"AATF",1.68928499128698,1.60799329468464
"AATK",33.6836144263864,22.7770639740155
"ABALON",28.3106338100541,25.1161526062863
"ABAT",5.73511327844299,10.1247302506944
"ABCA1",7.70219410243377,12.7821846201511
"ABCA10",4.18765758240143,5.8584953757494
"ABCA11P",17.0177664466039,16.5168136815049
"ABCA12",0.401339123346229,0.7695689913398
"ABCA13",0.00126901058930224,0.00371064137872518
"ABCA17P",19.2666028900239,20.9734584579599
"ABCA2",7.45408816867647,6.04333689516047
"ABCA3",11.6471937771464,11.2448319135774
"ABCA4",0.428382029220028,0.562979498099506
"ABCA5",31.5965021306995,39.8933896973879
"ABCA6",21.2741556520276,25.1303310117329
"ABCA7",2.41808015141865,1.74737064620939
"ABCA8",0.804743256328549,1.04700571845275
"ABCA9",10.7117841658811,13.0873387330975
"ABCA9-AS1",7.54872812160753,10.8787789872526
"ABCB1",1.44414459766997,1.05265964943367
"ABCB10",13.2223393180125,17.0181670655012
"ABCB11",0.51926001573576,0.694704471087722
"ABCB4",0.688811639251993,0.326755051635962
"ABCB5",0.0435186913379929,1.22549066586936
"ABCB6",10.2347509414765,8.26638109695294
"ABCB7",3.25968087293875,3.4040325216804
"ABCB8",5.77568915344965,6.92764209040988
"ABCB9",6.44789011917823,6.155217674234
"ABCC1",0.891303900325412,1.50323251215548
"ABCC10",9.90387224652659,9.80986864363553
"ABCC11",0.0377326579350759,0.0703982145413388
"ABCC12",0.797804917499763,0.0836522855546953
"ABCC13",0.00848760893984506,0.00721170262883388
"ABCC2",0.239177589990421,0.50036549759847
"ABCC3",0.697553366775883,0.270359516152014
"ABCC4",0.488390831847981,0.409699574676242
"ABCC5",21.5062391570398,24.8243452766382
"ABCC5-AS1",10.3738581075473,13.6290460912758
"ABCC6",0.50479999112257,0.756119177070482
"ABCC6P1",0.380042696141617,0.149235958731559
"ABCC6P2",0.0302440123033765,0.0139715778121529
"ABCC8",1.61324107237633,1.31003611348107
"ABCC9",0.746477557324251,0.0850527826830082
"ABCD1",1.44914648884142,2.07813030123049
"ABCD2",11.5221828610971,16.5559092669164
"ABCD3",6.6501518802227,9.4276404794353
"ABCD4",22.9870925236204,26.976883027832
"ABCE1",11.12416802381,13.3568940077697
"ABCF1",4.91786397229655,5.59320880065188
"ABCF2",17.1041197730021,14.0852681489132
"ABCF2-H2BK1",8.19605909864271,8.39568845181294
"ABCF3",2.21482405440022,2.39058697523432
"ABCG1",2.79760098206533,3.17547237984381
"ABCG2",0.168872605350891,0.0837716076254118
"ABCG4",4.79029211400284,6.78924395076047
